symbol,name,pe_ratio
COW,iShares Global Agriculture Index ETF,0.0915
CIF,iShares Global Infrastructure Index ETF,0.8539
XETM,iShares S&P/TSX Energy Transition Materials Index ETF,2.5263
XCS,iShares S&P/TSX SmallCap Index ETF,3.0876
XINC,iShares Core Income Balanced ETF Portfolio,5.5573
XGRO,iShares Core Growth ETF Portfolio,5.719
XEMC,iShares MSCI Emerging Markets ex China Index ETF,6.451
CPD,iShares S&P/TSX Canadian Preferred Share Index ETF,7.1396
XMD,iShares S&P/TSX Completion Index ETF,7.6385
XPF,iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged),7.7266
MSI,iShares S&P/TSX Capped Materials Index,8.1342
XMA,iShares S&P/TSX Capped Materials Index ETF,8.1342
XGD,iShares S&P/TSX Global Gold Index ETF,8.9918
XCHP,iShares Semiconductor Index ETF,9.1048
CEW,iShares Equal Weight Banc & Lifeco ETF,10.9563
XMY,iShares MSCI Min Vol Global Index ETF (CAD-Hedged),11.6302
XMW,iShares MSCI Min Vol Global Index ETF,11.6302
XDV,iShares Canadian Select Dividend Index ETF,11.7422
XDIV,iShares Core MSCI Canadian Quality Dividend Index ETF,11.8564
XCV,iShares Canadian Value Index ETF,12.1563
XCNS,iShares Core Conservative Balanced ETF Portfolio,12.2608
FIE,iShares Canadian Financial Monthly Income ETF,12.3724
XFN,iShares S&P/TSX Capped Financials Index ETF,12.3801
XEG,iShares S&P/TSX Capped Energy Index ETF,12.7406
XEI,iShares S&P/TSX Composite High Dividend Index ETF,12.8095
XRE,iShares S&P/TSX Capped REIT Index ETF,12.8333
XEQT,iShares Core Equity ETF Portfolio,13.7682
XEC,iShares Core MSCI Emerging Markets IMI Index ETF,13.9439
XEC.U,iShares Core MSCI Emerging Markets IMI Index ETF,13.9439
XST,iShares S&P/TSX Capped Consumer Staples Index ETF,14.229
XBAL,iShares Core Balanced ETF Portfolio,14.4446
XMV,iShares MSCI Min Vol Canada Index ETF,14.9763
CDZ,iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,15.3317
CYH,iShares Global Monthly Dividend Index ETF (CAD-Hedged),15.4128
XVLU,iShares MSCI USA Value Factor Index ETF,15.6138
XESG,iShares ESG Aware MSCI Canada Index ETF,16.0238
XDNA,iShares Genomics Immunology and Healthcare Index ETF,16.1901
XUSF,iShares S&P U.S. Financials Index ETF,16.5303
XIU,iShares S&P/TSX 60 Index ETF,16.8092
XTR,iShares Diversified Monthly Income ETF,17.1235
XCSR,iShares ESG Advanced MSCI Canada Index ETF,17.2034
XUT,iShares S&P/TSX Capped Utilities Index ETF,17.4786
XAD,iShares U.S. Aerospace & Defense Index ETF,17.486
XID,iShares India Index ETF,17.5788
XSMH,iShares S&P U.S. Small-Cap Index ETF (CAD-Hedged),17.6463
XSMC,iShares S&P U.S. Small-Cap Index ETF,17.6463
XEN,iShares Jantzi Social Index ETF,17.9265
XSU,iShares U.S. Small Cap Index ETF (CAD-Hedged),18.1988
GGRO,iShares ESG Growth ETF Portfolio,18.8057
XDU,iShares Core MSCI US Quality Dividend Index ETF,19.7035
XDUH,iShares Core MSCI US Quality Dividend Index ETF (CAD-Hedged),19.7035
XDU.U,iShares Core MSCI US Quality Dividend Index ETF,19.7035
XHU,iShares U.S. High Dividend Equity Index ETF,19.7749
XHD,iShares U.S. High Dividend Equity Index ETF (CAD-Hedged),19.7749
XMC.U,iShares S&P U.S. Mid-Cap Index ETF,19.8688
XMC,iShares S&P U.S. Mid-Cap Index ETF,19.8688
XMH,iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged),19.8688
XDGH,iShares Core MSCI Global Quality Dividend Index ETF (CAD-Hedged),20.6443
CUD,iShares US Dividend Growers Index ETF (CAD-Hedged),20.717
XIC,iShares Core S&P/TSX Capped Composite Index ETF,20.799
XAW.U,iShares Core MSCI All Country World ex Canada Index ETF,21.3756
XAW,iShares Core MSCI All Country World ex Canada Index ETF,21.3756
XDG,iShares Core MSCI Global Quality Dividend Index ETF,21.5587
XDG.U,iShares Core MSCI Global Quality Dividend Index ETF,21.5587
GCNS,iShares ESG Conservative Balanced ETF Portfolio,21.6232
GBAL,iShares ESG Balanced ETF Portfolio,21.6251
GEQT,iShares ESG Equity ETF Portfolio,21.7247
XUSC,iShares S&P 500 3% Capped Index ETF,22.122
XUSC.U,iShares S&P 500 3% Capped Index ETF,22.122
XSPC,iShares S&P 500 3% Capped Index ETF (CAD-Hedged),22.122
XUSR,iShares ESG Advanced MSCI USA Index ETF,22.5076
XMU,iShares MSCI Min Vol USA Index ETF,23.5539
XMS,iShares MSCI Min Vol USA Index ETF (CAD-Hedged),23.5539
XMU.U,iShares MSCI Min Vol USA Index ETF,23.5539
XSUS,iShares ESG Aware MSCI USA Index ETF,23.9507
XQLT,iShares MSCI USA Quality Factor Index ETF,25.1579
XHAK,iShares Cybersecurity and Tech Index ETF,25.6685
XUS.U,iShares Core S&P 500 Index ETF,25.7598
XUS,iShares Core S&P 500 Index ETF,25.7598
XSP,iShares Core S&P 500 Index ETF (CAD-Hedged),25.7598
XBM,iShares S&P/TSX Global Base Metals Index ETF,26.4057
XWD,iShares MSCI World Index ETF,26.4363
XTOT,iShares Core S&P Total U.S. Stock Market Index ETF,26.4576
XTOT.U,iShares Core S&P Total U.S. Stock Market Index ETF,26.4576
XTOH,iShares Core S&P Total U.S. Stock Market Index ETF (CAD-Hedged),26.4576
XHC,iShares Global Healthcare Index ETF (CAD-Hedged),26.6812
XUU.U,iShares Core S&P U.S. Total Market Index ETF,26.9555
XUU,iShares Core S&P U.S. Total Market Index ETF,26.9555
CVD,iShares Convertible Bond Index ETF,26.9613
XEH,iShares MSCI Europe IMI Index ETF (CAD-Hedged),27.0483
XEU,iShares MSCI Europe IMI Index ETF,27.2128
XMTM,iShares MSCI USA Momentum Factor Index ETF,28.2612
XGI,iShares S&P Global Industrials Index ETF(CAD-Hedged),28.6139
XFH,iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged),28.7124
XEF,iShares Core MSCI EAFE IMI Index ETF,28.7124
XEF.U,iShares Core MSCI EAFE IMI Index ETF,28.7124
XQQ,iShares NASDAQ 100 Index ETF (CAD-Hedged),30.0104
XQQU,iShares NASDAQ 100 Index ETF,30.1242
XQQU.U,iShares NASDAQ 100 Index ETF,30.1242
XDRV,iShares Global Electric and Autonomous Vehicles Index ETF,30.3179
XCG,iShares Canadian Growth Index ETF,30.6735
CGR,iShares Global Real Estate Index ETF,31.1787
XSEA,iShares ESG Aware MSCI EAFE Index ETF,31.3667
XIN,iShares MSCI EAFE Index ETF (CAD-Hedged),31.9366
CWW,iShares Global Water Index ETF,32.1695
XCD,iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged),33.0361
XSEM,iShares ESG Aware MSCI Emerging Markets Index ETF,33.2698
XMM,iShares MSCI Min Vol Emerging Markets Index ETF,36.4357
XCH,iShares China Index ETF,37.0153
XEXP,iShares Exponential Technologies Index ETF,39.1802
XCLN,iShares Global Clean Energy Index ETF,40.8242
XMI,iShares MSCI Min Vol EAFE Index ETF,42.8117
XML,iShares MSCI Min Vol EAFE Index ETF (CAD-Hedged),42.8117
XDSR,iShares ESG Advanced MSCI EAFE Index ETF,47.0541
XIT,iShares S&P/TSX Capped Information Technology Index ETF,47.2419
AGGU,iShares US Aggregate Bond Index ETF,
CBH,iShares 1-10 Year Laddered Corporate Bond Index ETF,
CBO,iShares 1-5 Year Laddered Corporate Bond Index ETF,
CGL,iShares Gold Bullion ETF,
CGL.C,iShares Gold Bullion ETF,
CLF,iShares 1-5 Year Laddered Government Bond Index ETF,
CLG,iShares 1-10 Year Laddered Government Bond Index ETF,
CMR,iShares Premium Money Market ETF,
SVR,iShares Silver Bullion ETF,
SVR.C,iShares Silver Bullion ETF,
XAGG,iShares U.S. Aggregate Bond Index ETF,
XAGG.U,iShares U.S. Aggregate Bond Index ETF,
